lemma,belongings,clothing_items,edibles,enclosures_and_vehicles,geographical_locations,institutions,nonsense_words,organisations_and_events,persons,platforms_and_floors,spatial_directions,spatial_region,time_expressions,vegetative_enclosure
Acapulcos,0.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0
Bolognas,0.0,0.0,0.0,5.0,5.0,0.0,5.0,1.0,0.0,2.0,5.0,5.0,1.0,0.0
Darwinilt,0.0,1.0,0.0,3.0,3.0,0.0,5.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0
Hebronist,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0
Häädemeestel,0.0,0.0,0.0,5.0,5.0,1.0,5.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0
Just,2.0,1.0,1.0,0.0,0.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
Kozlovil,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
Leidal,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0
Lembitul,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
MTÜ-s,0.0,0.0,0.0,4.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Macaus,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0
Mexicos,0.0,0.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0
RAM-is,2.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Raatusesse,0.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,0.0
Rate.ee-s,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
Saksas,1.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0
Sopotist,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0
VANA-KREEKAS,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0
Võrkpalluril,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Williamsile,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
alkoholiravilt,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
banaanivabariikides,0.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
detsembril,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0
dikteerimisel,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
