input,model,semantic_class,response
"Nõugaste
turbaauk
lillepaviljon
transpordikomisjon
turismihooaeg
tsiviilvorm
villipubi
Svalbard
proua
rumm",gpt-35-turbo,nonsense_words,"{
    ""Nõugaste"": 0,
    ""turbaauk"": 1,
    ""lillepaviljon"": 1,
    ""transpordikomisjon"": 1,
    ""turismihooaeg"": 1,
    ""tsiviilvorm"": 1,
    ""villipubi"": 1,
    ""Svalbard"": 0,
    ""proua"": 1,
    ""rumm"": 1
}"
"aedik
sekretär
toosama
veevärk
ranne
kiire
luukontroll
kalastusvöönd
ristilöömine
ravikindlustusnõukogu",gpt-35-turbo,nonsense_words,"```json
{""aedik"":0}
{""sekretär"":1}
{""toosama"":0}
{""veevärk"":1}
{""ranne"":1}
{""kiire"":1}
{""luukontroll"":1}
{""kalastusvöönd"":1}
{""ristilöömine"":1}
{""ravikindlustusnõukogu"":1}
```"
"keep
Lembit
revüüteater
fonoteek
Varasem
KaksPoissiTallinn
arhitektuuriinstituut
inlite
vangistusülem
uhu",gpt-35-turbo,nonsense_words,"{
    ""keep"": ""1"",
    ""Lembit"": ""1"",
    ""revüüteater"": ""1"",
    ""fonoteek"": ""1"",
    ""Varasem"": ""1"",
    ""KaksPoissiTallinn"": ""0"",
    ""arhitektuuriinstituut"": ""1"",
    ""inlite"": ""0"",
    ""vangistusülem"": ""1"",
    ""uhu"": ""0""
}"
"advokaadibüroo
masšuud
töökäsi
puiatu
Sopot
P70
7000rpm
nägemiskontroll
Hebroni
dopinguäri",gpt-35-turbo,nonsense_words,"```json
{""advokaadibüroo"":1}
{""masšuud"":0}
{""töökäsi"":1}
{""puiatu"":1}
{""Sopot"":1}
{""P70"":0}
{""7000rpm"":0}
{""nägemiskontroll"":1}
{""Hebroni"":1}
{""dopinguäri"":0}
```  "
"potilill
shamaanipaar
aastapäevanäitus
kaitsepolitseiamet
telefoniputka
jooksutund
õhtune
stamp
mudel
kurus",gpt-35-turbo,nonsense_words,"```json
{
    ""potilill"": 1,
    ""shamaanipaar"": 1,
    ""aastapäevanäitus"": 1,
    ""kaitsepolitseiamet"": 1,
    ""telefoniputka"": 1,
    ""jooksutund"": 1,
    ""õhtune"": 1,
    ""stamp"": 1,
    ""mudel"": 1,
    ""kurus"": 1
}
```"
"ribi
Darwin
ususeminar
modelliamet
maailm
kalarand
soomaa
lumelaud
papademo
luure",gpt-35-turbo,nonsense_words,"```json
{
    ""ribi"": 0,
    ""Darwin"": 1,
    ""ususeminar"": 0,
    ""modelliamet"": 0,
    ""maailm"": 1,
    ""kalarand"": 1,
    ""soomaa"": 1,
    ""lumelaud"": 1,
    ""papademo"": 0,
    ""luure"": 1
}
```"
"veefestival
taimima
alavesi
järgmine
VAAP
metsasügavus
läbiotsimine
ametitool
kaVenemaa
Nagano-võistkond",gpt-35-turbo,nonsense_words,"```json
{
    ""veefestival"": 1,
    ""taimima"": 1,
    ""alavesi"": 1,
    ""järgmine"": 1,
    ""VAAP"": 0,
    ""metsasügavus"": 1,
    ""läbiotsimine"": 1,
    ""ametitool"": 1,
    ""kaVenemaa"": 0,
    ""Nagano-võistkond"": 1
}
```"
"kohtla-järv
missugune
latter
finantseerimine
kabinetiistung
näevi
läbirääkimi
leivatootmine
kruupink
Kansas",gpt-35-turbo,nonsense_words,"```json
{""kohtla-järv"": 1}
{""missugune"": 1}
{""latter"": 0}
{""finantseerimine"": 1}
{""kabinetiistung"": 1}
{""näevi"": 0}
{""läbirääkimi"": 0}
{""leivatootmine"": 1}
{""kruupink"": 0}
{""Kansas"": 0}
```"
"sünd
valitsemiskuu
teoloogiaseminar
härrasrahvas
soosaar
parlament
kilja
pasteerim
kassaruum
Firenighti",gpt-35-turbo,nonsense_words,"```json
{""sünd"":1}
{""valitsemiskuu"":0}
{""teoloogiaseminar"":1}
{""härrasrahvas"":1}
{""soosaar"":1}
{""parlament"":1}
{""kilja"":0}
{""pasteerim"":1}
{""kassaruum"":1}
{""Firenighti"":0}
```"
"ravimine
linnarahvas
videomakk
messikeskus
puue
kukke
taevaskoda
modem
ID
tuur",gpt-35-turbo,nonsense_words,"{
    ""ravimine"": 1,
    ""linnarahvas"": 1,
    ""videomakk"": 1,
    ""messikeskus"": 1,
    ""puue"": 1,
    ""kukke"": 1,
    ""taevaskoda"": 1,
    ""modem"": 1,
    ""ID"": 0,
    ""tuur"": 1
}"
